,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.6708860759493671,0.36363636363636365,0.7894736842105263,0.4,0.7627118644067796,0.576555023923445,0.32266973532796317,0
1,Not ICU,0.6708860759493671,0.7894736842105263,0.36363636363636365,0.7627118644067796,0.4,0.5765550239234449,0.754039679761515,0
