,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.8492063492063492,0.8409090909090909,0.8536585365853658,0.7551020408163265,0.9090909090909091,0.8472838137472283,0.690527726242012,0
1,Not ICU,0.8492063492063492,0.8536585365853658,0.8409090909090909,0.9090909090909091,0.7551020408163265,0.8472838137472283,0.8712913103157005,0
