,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.07792207792207792,0.013888888888888888,1.0,1.0,0.06578947368421052,0.5069444444444444,0.9359668109668109,0
1,Self Isolation,0.07792207792207792,1.0,0.013888888888888888,0.06578947368421052,1.0,0.5069444444444444,0.06578947368421052,0
2,Hospitalized,0.07894736842105263,0.0,1.0,0.0,0.07894736842105263,undefined,undefined,1
3,Self Isolation,0.07894736842105263,1.0,0.0,0.07894736842105263,0.0,undefined,undefined,1
